# recorded_at: 02_33_17_16_05_26
# replay_hz: 30.0
timestamp,SpL_position,SpL_velocity,SpL_torque,SpL_temperature,SpL_mode,SpL_fault,SpL_enabled,SrL_position,SrL_velocity,SrL_torque,SrL_temperature,SrL_mode,SrL_fault,SrL_enabled,SwL_position,SwL_velocity,SwL_torque,SwL_temperature,SwL_mode,SwL_fault,SwL_enabled,EpL_position,EpL_velocity,EpL_torque,EpL_temperature,EpL_mode,EpL_fault,EpL_enabled,WwL_position,WwL_velocity,WwL_torque,WwL_temperature,WwL_mode,WwL_fault,WwL_enabled,WpL_position,WpL_velocity,WpL_torque,WpL_temperature,WpL_mode,WpL_fault,WpL_enabled,WrL_position,WrL_velocity,WrL_torque,WrL_temperature,WrL_mode,WrL_fault,WrL_enabled
1.0059,-0.07039276722362153,-0.025314717326619274,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.02851911192492551,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.07530327306019657,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.0432593270771342,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.058411535820553695,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.04229800869764233,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.126894026092927,-0.00025940337224383825,32.0,0,0,0
1.0393,-0.07077637903410405,-0.08363469901579279,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,0.015701533531700562,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.05094987411306917,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.05159075303273042,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.026184481574730967,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.03424124513618665,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.12286564431219915,-0.00025940337224383825,32.0,0,0,0
1.0727,-0.07039276722362153,-0.009933623254749335,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.02851911192492551,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.027237354085603016,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.020187685969329294,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.07049668116273722,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.10675211718928779,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.04632639047837017,-0.00025940337224383825,32.0,0,0,0
1.1061,-0.07039276722362153,-0.032364385442892996,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.02851911192492551,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.0016021972991531186,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.040054932478827965,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.07049668116273722,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.018127718013275285,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.10138094148165067,-0.00025940337224383825,32.0,0,0,0
1.1396,-0.07077637903410405,-0.13746852826733758,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.025314717326619274,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.0009613183794918712,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.07273975738155158,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.058411535820553695,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.10003814755474139,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.055725947966735134,-0.00025940337224383825,32.0,0,0,0
1.173,-0.07039276722362153,0.020187685969329294,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,0.01377889677271682,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.10414282444495271,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.10862897688258144,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.016784924086366004,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.05169756618600729,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.03289845120927737,-0.00025940337224383825,32.0,0,0,0
1.2064,-0.07039276722362153,-0.09773403524834023,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.02915999084458676,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.0810711833371478,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.06953536278324535,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.14166475928892908,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.008728160524910322,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.055725947966735134,-0.00025940337224383825,32.0,0,0,0
1.2398,-0.07077637903410405,-0.0073701075761043455,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.06504921034561661,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.10029755092698522,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.006729228656443098,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.030212863355458808,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.06915388723582794,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.08795300221255786,-0.00025940337224383825,32.0,0,0,0
1.2732,-0.07077637903410405,-0.0073701075761043455,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.042618448157472955,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.06697184710460036,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.06953536278324535,-0.000915541313801782,30.0,0,0,0,-0.05274662394140428,0.11346608682383419,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.08392462043183002,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.023498893720912406,-0.00025940337224383825,32.0,0,0,0
1.3066,-0.07039276722362153,0.027237354085603016,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.040054932478827965,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.009292744335088088,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.0009613183794918712,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.03155565728236809,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.011413748378728883,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.015442130159456724,-0.00025940337224383825,32.0,0,0,0
